id,name
5e1369e4-0c3d-4403-bfae-e1012da3c941,Sud Mer Invest (Banque Populaire du Sud
435d8454-99e9-4528-8d06-1f0ec4fd021d,Super Capital
f5855621-c9e3-4424-9ec0-288f222ecb6f,Supercapital
47fac8d8-3068-4136-b075-896ce7585f45,Supernova Invest
52fcc8ad-b312-4ae6-87b3-9859bc6b2653,Superprof
da99440e-df67-4762-adfc-4fd39d5e6b63,Swen Capital
1eb3546e-0fb5-409a-afc3-f85f03a58f86,SWEN Capital Partners
e9498e5f-6207-46b4-8de4-765bf0c7d569,The Yield Lab
ae3ffb82-10d9-45cc-9eb6-2abc44328424,The Yield Lab Europe
39dd25ea-3f87-4bbf-a004-353a3ccb050e,Tomcat
ccc096ae-febb-447c-a240-2d7b73280f08,Tomcat Invest
2c2e62cc-c47c-4f41-9d8f-3921a1cbfaf1,Tomcat Venture
e493db0c-5bdd-4d68-b207-9789e71529a2,True
052ebbe4-a707-47df-997a-93d46451a198,True Capital
388059f9-754d-4dbd-ac70-654468eb6bf2,True Global
7901c33b-c2ce-47a2-a31d-b3c420f5c6ef,UI Investissement
7c69879a-60e3-412f-bd32-949f58e7f8ac,UI Investissement; IRD INVEST
5195b593-3ed1-408d-8287-922b44e639fe,Verve Capital
3267c0d7-f688-4667-879e-70b072ca2df5,Verve Ventures
e05d7c49-3cd1-492e-a782-231877a57f97,Watermelon
fb90f702-f47d-4cc4-808c-b17eeeabbda5,welovefounders
9657aa43-b5ab-4f73-ba28-31e5c2402fd5,WeLoveFounders
36aaf6da-e0fa-4faa-acfd-6e7a2bdd5107,Wind
67bc212b-fb14-4401-b17e-7c69f4827acd,Wind Capital
875b2c29-aeb9-45f9-93bd-391cef5c8add,Wiseed
ba6f379e-8a99-4252-8602-581b541b97a8,WiSeed
dab29f6f-a4d5-4032-98cc-b3fb8b89d707,Yellow
a8a13a77-a8fe-478c-a6ef-ad0419a6ff68,Yellow Ventures
