ai_score,sector,acronym,name,umr_label,type,city,parent_company,tutelles,domain,year_created,website
30,public,PARTOUT,Automatisation et ReprésenTation: fOndation du calcUl et de la déducTion,,Unité propre,Palaiseau,,"CNRS,INRIA,IP PARIS",Sciences et technologies de l'information et de la communication,2019,http://www.inria.fr/equipes/partout
30,public,MOKAPLAN,Avancées en calcul numérique des variations,,Unité propre,Paris,,"PARIS-DAUPHINE,CNRS,INRIA",Sciences et technologies de l'information et de la communication,2013,http://www.inria.fr/equipes/mokaplan
30,public,COMBO,Biomécanique et Méthodes Numériques pour l’analyse de l’interaction humain-systèmes hors du laborato...,,Unité propre,Rennes,,"INRIA,RENNES 2,ENS RENNES,RENNES",Sciences et technologies de l'information et de la communication,2025,https://www.inria.fr/fr/combo
30,public,CONCACE,COmposabilite Numerique and parallele pour le CAlcul haute performanCE,,Unité propre,,,"INRIA,CERFACS",Sciences et technologies de l'information et de la communication,2022,
30,public,MATHEXP,"Calcul formel, mathématiques expérimentales et interactions",,Unité propre,Palaiseau,,INRIA,Sciences et technologies de l'information et de la communication,2022,https://www.inria.fr/fr/mathexp
30,public,CROMA,"Centre de Radiofréquences, Optique et Micro-nanoélectronique des Alpes",UMR 5130,Unité mixte,GRENOBLE CEDEX 1,,"GRENOBLE INP,CHAMBERY,CNRS,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2001,https://croma.grenoble-inp.fr/
30,public,COATI,"Combinatoire, Optimisation et Algorithmes pour les Télécommunications",,Unité propre,Sophia Antipolis,,"CNRS,INRIA,UniCA",Sciences et technologies de l'information et de la communication,2013,http://www.inria.fr/equipes/coati
30,public,CTRL-A,Commande pour systèmes informatiques autonomiques,,Unité propre,Montbonnot St Martin,,"INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2014,http://www.inria.fr/equipes/ctrl-a
30,public,CASH,"Compilation et Analyse, Logiciel et Matériel",,Unité propre,Montbonnot St Martin,,"LYON 1,CNRS,INRIA,ENS LYON",Sciences et technologies de l'information et de la communication,2018,http://www.inria.fr/equipes/cash
30,public,DATASHAPE,Comprendre la forme des données,,Unité propre,,,"CNRS,INRIA,U PARIS-SACLAY",Sciences et technologies de l'information et de la communication,2016,
30,public,CASCADE,Conception et Analyse de Systèmes pour la Confidentialité et l'Authentification de Données et d'Enti...,,Unité propre,Paris,,"ENS PARIS,CNRS,INRIA",Sciences et technologies de l'information et de la communication,2008,http://www.inria.fr/equipes/cascade
30,public,DIVERSE,Diversity-centric Software Engineering,,Unité propre,Rennes,,"INSA RENNES,CNRS,INRIA,RENNES",Sciences et technologies de l'information et de la communication,2014,http://www.inria.fr/equipes/diverse
30,public,D-DAL,Données : algorithmiques et logiques dynamiques,,Unité propre,Villeneuve d'Ascq,,"INRIA,LILLE",Sciences et technologies de l'information et de la communication,2025,https://www.inria.fr/fr/d-dal
30,public,OLAS,"Fondements opérationnels, logiques et algébriques des systèmes logiciels",,Unité propre,Sophia Antipolis,,INRIA,Sciences et technologies de l'information et de la communication,2023,https://www.inria.fr/fr/olas
30,public,LACODAM,Fouille de données collaborative à grande échelle,,Unité propre,Rennes,,"INSA RENNES,INRIA,Institut Agro,RENNES",Sciences et technologies de l'information et de la communication,2016,http://www.inria.fr/equipes/lacodam
30,public,FILOFOCS,French-Israeli Laboratory on Foundations of Computer Science,IRL 2005,Unité mixte internationale,6997801 TEL-AVIV,,"CNRS,TAU,HUJI,INST WEIZMANN SC,U PARIS Cité",Sciences et technologies de l'information et de la communication,2019,https://www.filofocs.org/
30,public,FIL,Fédération Informatique de Lyon,FR 2000,Structures Fédératives de Recherche,VILLEURBANNE CEDEX,,"EC. CENTRALE LYON,INSA LYON,LYON 1,LYON 2,CNRS,INRIA,ENS LYON,UJM",Sciences et technologies de l'information et de la communication,2017,https://fil.cnrs.fr/
30,public,MIRES,"Fédération de recherche mathématique et intéractions, images et information numérique, réseaux et sé...",FR 3423,Structures Fédératives de Recherche,POITIERS Cedex 9,,"LIMOGES,CNRS,LA ROCHELLE,ENSMA POITIERS,UP",Sciences et technologies de l'information et de la communication,2012,
30,public,GPL,GENIE DE LA PROPAGATION ET DU LOGICIEL,GDR 3168,Groupements de Recherche,SOPHIA ANTIPOLIS CEDEX,,CNRS,Sciences et technologies de l'information et de la communication,2008,
30,public,TADAAM,Gestion des données à l'échelle du système en fonction de la topologie pour le calcul haute performa...,,Unité propre,Talence Cedex,,"INRIA,Bordeaux INP,BORDEAUX",Sciences et technologies de l'information et de la communication,2015,http://www.inria.fr/equipes/tadaam
30,public,GRICAD,Grenoble Alpes Recherche-Infrastructure de CAlcul Intensif et de Données,UAR 3758,Unité mixte,ST MARTIN D HERES,,"GRENOBLE INP,CNRS,INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2016,https://gricad.univ-grenoble-alpes.fr/
30,public,GAMBLE,"Géométrie, Algorithmes et Modèles Bien au-delà du Linéaire et de l’Euclidien",,Unité propre,,,"INRIA,LORRAINE",Sciences et technologies de l'information et de la communication,2017,
30,public,HEUDIASYC,Heuristique et diagnostic des systèmes complexes,UMR 7253,Unité mixte,COMPIEGNE CEDEX,,"UT COMPIEGNE,CNRS",Sciences et technologies de l'information et de la communication,1981,http://www.hds.utc.fr
30,public,IPAL,Image and Pervasive Access Lab,UMI 2955,Unité mixte internationale,Singapour,,"TELECOM PARIS,CNRS,MinesTélécom,NUS,I2R A*STAR,IP PARIS",Sciences et technologies de l'information et de la communication,2006,http://ipal.cnrs.fr/
30,public,IG-RV,"Informatique Géométrique et Graphique, Réalité Virtuelle et Visualisation",GDR 3000,Groupements de Recherche,ILLKIRCH CEDEX,,"CNRS,INRIA,U. STRASBOURG,GRENOBLE ALPES,UT",Sciences et technologies de l'information et de la communication,2006,http://icube-web.unistra.fr/gdr-igrv/index.php/Accueil
30,public,IRIMAS,Institut de Recherche en Informatique Mathématiques Automatique Signal (IRIMAS) - UR 7499,UR 7499,Unité propre,Mulhouse cedex,,MULHOUSE,"Mathématiques et leurs interactions,Sciences pour l'ingénieur,Sciences et techno",2018,http://www.irimas.uha.fr
30,public,ITEM,Institut des Textes et Manuscrits Modernes,UMR 8132,Unité mixte,PARIS,,"ENS PARIS,CNRS,PSL,UP",Sciences et technologies de l'information et de la communication,2002,http://www.item.ens.fr/
30,public,IDRIS,Institut du Développement et des Ressources en Informatique Scientifique,UAR 851,Unité propre,ORSAY CEDEX,,"CNRS,U PARIS-SACLAY",Sciences et technologies de l'information et de la communication,1993,http://www.idris.fr
30,public,Inria,Institut national de recherche en sciences et technologies du numérique,,Unité propre,Le Chesnay Cedex,,INRIA,Sciences et technologies de l'information et de la communication,1967,
30,public,ILDA,Interacting with Large Data,,Unité propre,Palaiseau,,"CNRS,INRIA,U PARIS-SACLAY",Sciences et technologies de l'information et de la communication,2015,http://www.inria.fr/equipes/ilda
30,public,LGIPM,"LABORATOIRE DE GÉNIE INFORMATIQUE, DE PRODUCTION ET DE MAINTENANCE",EA 3096,Unité propre,METZ CEDEX 03,,"ENI METZ,LORRAINE,INRIA","Sciences pour l'ingénieur,Sciences et technologies de l'information et de la com",1996,http://lgipm.univ-lorraine.fr/
30,public,LAMIA,LABORATOIRE DE MATHEMATIQUES INFORMATIQUE ET APPLICATIONS,UR 1_1,Unité propre,POINTE À PITRE CEDEX,,ANTILLES,"Mathématiques et leurs interactions,Sciences et technologies de l'information et",2010,http://lamia.univ-antilles.fr/newsite/le-labo/
30,public,LAPLACE,LABORATOIRE PLASMA ET CONVERSION D'ENERGIE,UMR 5213,Unité mixte,TOULOUSE CEDEX 9,,"INP TOULOUSE,CNRS,UT",Sciences et technologies de l'information et de la communication,2006,http://www.laplace.univ-tlse.fr
30,public,GEOMERIX,La Géometrie au Service du Numérique,,Unité propre,,,"CNRS,INRIA,IP PARIS",Sciences et technologies de l'information et de la communication,2022,
30,public,LEAT,"Laboratoire d'Electronique, Antennes et Télécommunications",UMR 7248,Unité mixte,SOPHIA ANTIPOLIS CEDEX - VALBONNE,,"CNRS,UniCA",Sciences et technologies de l'information et de la communication,2012,https://leat.univ-cotedazur.fr/
30,public,LIM,Laboratoire d'Informatique et de Mathématiques,UR 2525,Unité propre,SAINTE CLOTILDE,,LA REUNION,"Mathématiques et leurs interactions,Sciences et technologies de l'information et",1998,https://lim.univ-reunion.fr/
30,public,LPQM,Laboratoire de Photonique Quantique et Moléculaire,UMR 8537,Unité mixte,CACHAN CEDEX,,"ENS Paris-Saclay,CNRS,CENTRALESUPELEC,U PARIS-SACLAY",Sciences et technologies de l'information et de la communication,1998,http://www.lpqm.ens-cachan.fr
30,public,LAMA,Laboratoire de mathématiques,UMR 5127,Unité mixte,LE BOURGET DU LAC CEDEX,,"CHAMBERY,CNRS",Sciences et technologies de l'information et de la communication,2001,http://www.lama.univ-savoie.fr
30,public,LEMON,"Littoral, Environnement, Modèles et Outils Numériques",,Unité propre,Sophia Antipolis,,"CNRS,INRIA,MONTPELLIER",Sciences et technologies de l'information et de la communication,2014,http://www.inria.fr/equipes/lemon
