Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Rzilient,"Paris, Ile-de-France, France, Europe",Seed,1300000,EUR,2021-10-18,https://www.rzilient.club/,Rzilient is a fleet management platform for information technology.,"Otium Capital, Pierre-Edouard Stérin","Consulting, Information Technology, Management Consulting",
Lynx Educate,"Paris, Ile-de-France, France, Europe",Pre-Seed,1300000,EUR,2021-09-29,https://www.lynxeducate.com,Lynx Educate is a career development solution to connect workers with education for their next role.,"Bisk Ventures, Brighteye Ventures, Emerge VC, Reach Capital, Rethink Education","Corporate Training, EdTech, Education, Employee Benefits",
Cardashift,"Paris, Ile-de-France, France, Europe",Pre-Seed,1500000,USD,2021-09-28,https://cardashift.com/,"Cardashift is a community-run launchpad that raises funds, builds, and accelerates startups solving social and environmental issues.","Orange DAO, smart-chain","Blockchain, Cryptocurrency, Sustainability",
Searoutes,"Marseille, Provence-Alpes-Cote d'Azur, France, Europe",Seed,1300000,EUR,2021-11-22,https://discover.searoutes.com,Searoutes.com is a cloud based route planning and weather solution API for freight.,"CMA CGM, OHB Venture Capital, Team ABC, WSB Windkraft Verwaltungs und Beteiligungs","Fleet Management, Logistics, Supply Chain Management, Transportation",
Blobr,"Paris, Ile-de-France, France, Europe",Pre-Seed,1200000,EUR,2021-01-22,https://www.blobr.io/,"Blobr is a SaaS company that offers API portal for internal teams, partners and customers.","Guillaume ""G"" Cabane, Kima Ventures, New Wave (VC), Seedcamp","Developer APIs, Information Technology, SaaS",
Aluvair,"La Guerche-de-bretagne, Bretagne, France, Europe",Seed,1200000,EUR,2021-05-19,http://www.aluvair.fr/,Aluvair is an aluminium carpentry service intended to serve property developers and general construction companies.,Crédit Mutuel Equity,"Construction, Manufacturing",
Joinsteer,"Paris, Ile-de-France, France, Europe",Seed,1289000,EUR,2021-12-01,https://www.joinsteer.com/,"Welcome to Joinsteer, the ultimate platform dedicated to the future of car financing. We curate the most exclusive Cars.","Alexis Berthoud, Thibaud Carrai","Automotive, Big Data, E-Commerce, Internet",
Ici Présent,"Meylan, Rhone-Alpes, France, Europe",Seed,1250000,EUR,2021-10-19,https://www.icipresent.com/,"Gift boxes of products and creations from French artisans, to offer or to treat yourself!",KREAXI,E-Commerce,
DigitecPharma,"La Ciotat, Provence-Alpes-Cote d'Azur, France, Europe",Pre-Seed,1200000,EUR,2021-02-17,https://www.digitecpharma.fr,DigitecPharma is a SaaS powered mobile application platform for patient relationship management for pharmaceutical dispensaries.,"Extens, Région Sud Investissement","Apps, Health Care, Mobile, Pharmaceutical, SaaS",
Polar Analytics,"Paris, Ile-de-France, France, Europe",Seed,1200000,EUR,2021-05-05,https://www.polaranalytics.com,Polar Analytics is a business intelligence software that offers reports and integrations for Shopify merchants.,"Andre Haddad, Frst, Guillaume ""G"" Cabane, Guillaume Luccisano, Kima Ventures, Romain Lapeyre","Analytics, Artificial Intelligence (AI), E-Commerce, SaaS, Software",
Imageens,"Paris, Ile-de-France, France, Europe",Seed,1200000,EUR,2021-04-15,https://www.imageens.com,Imageens develops a Web AI-Based platform for medical images analysis.,"CapHorn Invest, Coalescence, Les Business Angels des Grandes Écoles","Analytics, Medical, Medical Device",
Yavin,"Paris, Ile-de-France, France, Europe",Pre-Seed,1200000,EUR,2021-09-08,https://yavin.com,Yavin provides modern point-of-sale solutions for European merchants.,"Arthur Waller, Eduardo Ronzano, Pierre-Antoine Dusoulier, Renaud Visage, Seedcamp, Thibaud Elziere, Xavier Niel","Information Technology, Point of Sale, Software",
Viceversa,"Paris, Ile-de-France, France, Europe",Pre-Seed,1200000,EUR,2021-04-01,https://viceversa.xyz,"Viceversa is a 3D software company providing an API-built SAAS platform to store, manage and deploy 3D files in a brand’s digital ecosystem.",,"3D Technology, E-Commerce, Fashion, SaaS, Software, Virtual Goods",
Viceversa,"Paris, Ile-de-France, France, Europe",Pre-Seed,1200000,EUR,2021-04-01,https://viceversa.xyz,"Viceversa is a 3D software company providing an API-built SAAS platform to store, manage and deploy 3D files in a brand’s digital ecosystem.",,"3D Technology, E-Commerce, Fashion, SaaS, Software, Virtual Goods",
