Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Callyope,https://callyope.com,Seed,,2212986.88,2023-11-22,,Paris,"360 Capital, Adrien Montfort, Bpifrance, No Label Ventures, Thomas Clozel",Other
Crew.work,https://crew.work,Seed,,2124907.61,2023-02-14,,Paris,"Behzod Sirjani, Christian Reber, Kima Ventures, Nick Caldwell, Nicolas Marchais, Olivier Bonnet, Paul Forster, Rebel Fund, Sam Edelson, Secret Fund",Other
Osiris agriculture,https://www.osiris-agriculture.fr/,Seed,,2105163.53,2023-10-20,,"Illies, Nord-Pas-de-Calais, France, Europe","agROBOfood, BACS-Innov, Bpifrance, Finovam Gestion, Hauts-de-France Innovation Développement, Hodéfi, Nord France Amorcage","AgriTech, Robotics"
Cyclair,http://www.cyclair.fr,Seed,,2088623.43,2023-12-11,,"Pressac, Poitou-Charentes, France, Europe","Center Ouest Céréales, Ceresia, Crédit Agricole de la Touraine et du Poitou, Les Business Angels des Grandes Écoles, NACO","Artificial Intelligence, AgriTech"
aiherd,https://www.aiherd.io/fr,Seed,,2083561.53,2023-02-09,,Nantes,,"Artificial Intelligence, AgriTech"
IMPACT Plus,https://impact-plus.fr/en/homepage-uk/,Seed,,2070398.19,2023-07-19,,Paris,Elevation Capital Partners,"Artificial Intelligence, CleanTech, ClimateTech, Mobility, MarTech"
Previa Medical,https://www.previa-medical.com,Seed,,2069441.98,2023-02-16,,Lyon,"Banques Populaires, BNP Paribas, Bpifrance, Capital Croissance, Holding Seraip, Hopla Memory, KREAXI, Veymont Participations","Artificial Intelligence, HealthTech, MedTech"
aiherd,https://www.aiherd.io/fr,Seed,,2053574.46,2023-02-24,,Nantes,"Bpifrance, VetAngels","Artificial Intelligence, AgriTech"
Atypique,https://atypique.eco,Seed,,2052725.42,2023-09-29,,Lyon,"Foodara, Impactivist, MakeSense",Other
Albert,https://www.albertapp.com,Seed,,2039563.93,2023-10-13,,Paris,"50 Partners, Bpifrance, Frenchfounders",SaaS
Hemerion,https://hemerion.com/,Seed,,2032039.91,2023-04-12,,"Villeneuve, Picardie, France, Europe",Bpifrance,Other
Bitstack,https://bitstack-app.com,Seed,,2027900.04,2023-04-18,,Paris,"Founders Future, FoundersX Ventures, Goodwater Capital, Johannes de Waal, Kima Ventures, Lightning Ventures, Paul Vidal, Saturnin Pugnet, Sharpstone Capital, Soma Capital, Y Combinator","FinTech, Web3"
Urbyn,https://urbyn.co,Seed,,2024675.72,2023-06-27,,Paris,"Asterion Ventures, Makesense Seed I, MySeedCap",SaaS
Anoat Therapeutics,,Seed,,2018430.34,2023-06-19,,Paris,AdBio partners,Other
ShareID,https://www.shareid.ai,Seed,,2017830.75,2023-01-25,,"Neuilly-sur-seine, Ile-de-France, France, Europe","212 Founders, CDG Invest, Newfund, Tom Kemp",Other
Calida Therapeutics,,Seed,,2017705.1,2023-04-06,,Paris,AdBio partners,"BioTech, Hardware"
vibiscus,https://www.vibiscus.com/,Seed,,2017079.64,2023-06-30,,"Besançon, Franche-Comte, France, Europe",UI Investissement,Artificial Intelligence
Hapni,https://hapni.fr/,Seed,,2015295.64,2023-04-03,,Paris,Otium Capital,"HealthTech, MedTech"
Orthopus,https://orthopus.com/,Seed,,2014902.07,2023-02-02,,Nantes,"Bpifrance, Enchanted Tools","HealthTech, MedTech, Mobility, Robotics, Hardware"
VoltR,https://www.voltr.tech,Seed,,2012671.84,2023-12-01,,Nantes,"Anjou Amorcage, C4 Ventures, Exergon, Pays de la Loire Participations",Other
Tictactrip,https://www.tictactrip.eu,Seed,,2012200.67,2023-01-24,,Paris,"Bpifrance, Jean Nadir, Tomcat Invest, Tudigo","Artificial Intelligence, Mobility, TravelTech"
MoSo,http://motionsociety.io,Seed,,2010837.03,2023-12-13,,Paris,"Kima Ventures, OneRagtime","MedTech, Entertainment"
GenSensor,https://gensensor.com/,Seed,,2010808.39,2023-07-04,,"Saint-herblain, Pays de la Loire, France, Europe","Bpifrance, GO CAPITAL, Sodero Gestion",Hardware
Gaya,https://gaya.bike/,Seed,,1989926.09,2023-05-23,,Paris,"Karmen, Mobivia Groupe, Via ID","Energy, Mobility"
Nimbl'bot,https://nimbl-bot.com,Seed,,1988640.98,2023-06-12,,Bordeaux,"IRDI SORIDEC Gestion, NACO, UI Investissement","HealthTech, Robotics"
FreemiumPlay,http://www.freemiumplay.com,Seed,,1983177.2,2023-09-13,,Bordeaux,Elevation Capital Partners,"Artificial Intelligence, Entertainment"
