Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
DiogenX,diogenx.com,Series A,881305544,27500000,2023-05-10,,Marseille,"Omnes Capital, Roche Venture Fund ,Boehringer Ingelheim Venture Fund, JDRF T1D Fund, AdBio partners, Eli Lilly",Other
AbolerIS Pharma,https://aboleris-pharma.com,Series A,,26967064.86,2023-09-18,,Nantes,"Criteria Bio Ventures, Investsud, Newton Biocapital, Sambrinvest, SFPIM, Sound Bioventures, Turenne Groupe",AgriTech
Sweetch Energy,https://sweetch.energy,Series A,,25229413.34,2023-12-18,,Rennes,"Crédit Mutuel Impact, Demeter, Future Positive Capital, GO CAPITAL","Energy, DeepTech"
Dougs Compta,https://www.dougs.fr/,Series A,,25135102.55,2023-07-04,,Lyon,Expedition Growth Capital,Other
ATAWEY,http://atawey.com/,Series A,,25059942.72,2023-01-30,,"Le Bourget-du-lac, Rhone-Alpes, France, Europe","Banque Populaire Group, BNP Paribas, Bpifrance, Crédit Agricole Alpes Development, Groupe IDEC","Energy, Robotics"
HarfangLab,https://harfanglab.io/en,Series A,,24433428.49,2023-10-09,,Paris,"Crédit Mutuel Innovation, Elaia, MassMutual Ventures","Artificial Intelligence, Cybersecurity"
XXII GROUP,https://www.xxii.fr,Series A,,21785764.04,2023-03-20,,"Puteaux, Ile-de-France, France, Europe","574 Invest, Bpifrance, CIB Développement, Fonds Innovation Défense, Groupe Duval, Kima Ventures, Techmind",Other
Animaj,https://www.animaj.com,Series A,,21667459.35,2023-09-21,,Paris,"Daphni, Left Lane Capital, Motier Ventures, Resonance, XAnge","BioTech, Energy"
EyeLights,https://www.eye-lights.com/,Series A,,20320395.42,2023-04-12,,"Labège, Midi-Pyrenees, France, Europe","Aster, Bpifrance, BREEGA, European Innovation Council, FK Group, Shift4Good, Techstars",Artificial Intelligence
Glopal,https://www.glopal.com,Series A,,19967750.37,2023-03-27,,Paris,"Axeleo Capital, Crédit Mutuel Innovation, Hi Inov - Dentressangle, Motier Ventures, Pierre Denis, Seventure Partners",BioTech
Pivot,https://www.pivotapp.ai/,Series A,,19952872.32,2023-12-12,,Paris,"Anamcara Capital, Emblem, Hedosophia, Oliver Samwer, Visionaries Club",Other
Beem Energy,https://beemenergy.fr/,Series A,,19829279.38,2023-05-30,,Nantes,"360 Capital, Alter Equity 3P, BNP Paribas Développement, Cathay Capital, Cathay Innovation, Cyril Berdugo","CleanTech, Energy"
Inato,https://inato.com,Series A,,18477457.5,2023-03-29,,Paris,"Cathay Innovation, La Maison Partners, Obvious Ventures, Top Harvest Capital",HealthTech
RemyAI,https://www.getremy.ai/en,Series A,,18477457.5,2023-10-23,,Paris,"01 Advisors, Abstract, Acrew Capital, HighSage Ventures, Knollwood Capital, Partech, Potluck Ventures, Precursor Ventures","Artificial Intelligence, PropTech"
RED Horticulture,https://www.horticulture.red/fr/,Series A,,17146149.3,2023-11-21,,Lyon,"Demeter, European Circular Bioeconomy Fund, Unigrains",CleanTech
BeFC Bioenzymatic Fuel Cells,https://www.befc.fr/,Series A,,15937997.04,2023-06-08,,Grenoble,"BNP Paribas Développement, Demeter, Otium Capital, Supernova Invest","Artificial Intelligence, BioTech, Energy"
Dioxycle,https://dioxycle.com/,Series A,,15705838.88,2023-07-26,,Bordeaux,"Breakthrough Energy Ventures, Collaborative Fund, Gigascale Capital, Lowercarbon Capital","ClimateTech, Mobility"
SiPearl,https://www.sipearl.com,Series A,,15320817.63,2023-12-30,,"Maisons-laffitte, Ile-de-France, France, Europe","Arm Holdings, France 2030","Artificial Intelligence, Energy"
Iktos,https://iktos.ai/,Series A,,15159261.83,2023-03-09,,Paris,"Debiopharm Innovation Fund, M Ventures, Omnes Capital","Artificial Intelligence, BioTech"
Aria,https://helloaria.eu,Series A,,14964654.47,2023-12-12,,Paris,"13books Capital, Adevinta Ventures, Ankaa Ventures, Guillaume Princen, Laurent Ritter, Mark Ransford, Otium Capital",FinTech
Prove & Run,http://www.provenrun.com,Series A,,14920170.92,2023-12-06,,Paris,"Bpifrance, Tikehau Capital","Artificial Intelligence, Cybersecurity, Hardware"
Omie & Cie,https://www.omie.fr,Series A,,14882580.38,2023-02-09,,Montreuil,"2050, 50 Partners, Cookpad, Crédit Agricole, Founders Future, Teampact ventures, XAnge",Mobility
MentorShow,https://mentorshow.com,Series A,,14767883.41,2023-03-10,,Paris,"Acurio Ventures, Christophe ANDRE, Crédit Mutuel Innovation, Educapital, FJ Labs, Frédéric Mazzella, Laurent Ritter, Left Lane Capital, Marc Lévy, Paul Le, Purple, Romain RAFFARD","Artificial Intelligence, Entertainment"
Chargepoly,https://www.chargepoly.com,Series A,,14600852.73,2023-10-12,,"Aix-en-provence, Provence-Alpes-Cote d'Azur, France, Europe","Fidève Groupe, Voltalia","Energy, Mobility"
Pili,http://www.pili.bio/,Series A,,14597191.43,2023-02-28,,Paris,"Bpifrance, Elaia, Famille C Participations, SOSV, Startup Angels Alb-Bodensee","Artificial Intelligence, BioTech, CleanTech"
Gradient Denervation Technologies,http://www.gradientdenervation.com/,Series A,,13837342.02,2023-09-07,,Paris,"Asabys Partners, Sofinnova Partners, Thuja Capital","HealthTech, MedTech, Hardware"
Kiro,https://www.kiro.bio,Series A,,13818934.77,2023-03-28,,Paris,"Bpifrance, Business Angels, Kurma Partners, Propulia Capital, Sofinnova Partners","Artificial Intelligence, HealthTech, MedTech"
Sonio,https://www.sonio.ai,Series A,,13228478.38,2023-07-11,,Paris,"Alain Decombe, Cross-Border Impact Ventures, Dominique Gaillard, Elaia, La French Tech, OneRagtime, Yann Fleureau",Artificial Intelligence
HSL Technologies,http://hsl.tech,Series A,,13044049.33,2023-01-31,,"Aix-en-provence, Provence-Alpes-Cote d'Azur, France, Europe","CAAP Creation, EDP Ventures, Equinor Ventures, European Innovation Council, KREAXI, PLD Automobile, Région Sud Investissement",Mobility
Algama,https://www.algamafoods.com/,Series A,,12929881.74,2023-01-11,,"Malakoff, Ile-de-France, France, Europe","Beyond Impact, Grupo Bimbo, Meusinvest (Noshaq), Newtree Impact, Thai Union Ventures",FoodTech
Check & Visit,https://checkandvisit.com/,Series A,,12392993.35,2023-05-26,,Rennes,"AMAVI Capital, Anaxago, Axeleo Capital, Breizh Up, CapHorn Invest, EuroBIM, Kima Ventures, Realty Corporation, The Moon Venture",Other
Santé Académie,https://www.santeacademie.com/#?utm_source=crunchbase&utm_medium=referral&utm_campaign=base_donnees,Series A,,12167402.07,2023-04-18,,Lyon,"Bpifrance Digital Venture, MAIF Avenir, Serena, Sofiouest","HealthTech, MedTech"
Ecov -,http://www.ecov.fr/,Series A,,11953356.43,2023-05-09,,Nantes,"ADEME Investissement, Banque des Territoires, BNP Paribas, MAIF Impact",Mobility
Djust,https://www.djust.io/,Series A,,11931845.9,2023-06-12,,Paris,"Elaia, New Enterprise Associates",E-commerce & Retail
Hello Watt,https://www.hellowatt.fr/,Series A,,11884519.59,2023-11-06,,Paris,"BNP Paribas Solar Impulse Venture fund, Starquest Capital",Energy
Obat,https://www.obat.fr,Series A,,11826052.29,2023-11-09,,Nantes,"Arthur Waller, Christophe Courtin, Crédit Mutuel Innovation, Evolem Start, Holnest, Kima Ventures, NCI, NewAlpha Asset Management VC, Truffle Capital","SaaS, LegalTech"
Sifflet,https://www.siffletdata.com,Series A,,11825572.8,2023-03-21,,Paris,"Bessemer Venture Partners, EQT Ventures, Mangrove Capital Partners",Other
Masteos,https://www.masteos.com/,Series A,,11694889.14,2023-03-07,,Paris,"Business Angels, EDF Pulse Croissance, NCI, Swen Capital Partners",FinTech
Dattak,https://www.dattak.io,Series A,,11107238.54,2023-08-30,,Paris,"Bpifrance, BREEGA, XAnge","Cybersecurity, InsurTech"
CryptoNext Security,https://cryptonext-security.com/,Series A,,11070625.46,2023-11-30,,Paris,"Auriga Cyber Ventures, AVP, Quantonation","Artificial Intelligence, DeepTech, Web3, Cybersecurity"
Foodomarket,https://www.foodomarket.com/shop,Series A,,11037616.41,2023-06-09,,"Boulogne-billancourt, Ile-de-France, France, Europe",Alven,"FoodTech, E-commerce & Retail"
Luna Food,https://www.lunafood.com,Series A,,11026374.72,2023-01-30,,Paris,"Alexis Bonillo, Benoit Emsalem, David Quenet, Guillaume Quenedey, iVESTA Family Office, Jacques ZRIBI, Julien Jacquel, Julie Pellet, Laurent La Bonnardière, Marc Menasé, Nicolas Deconinck, Olivier Frias, Terry Abessera, Xavier Niel, Yoni Kabalo",FoodTech
Tomorro,https://tomorro.com,Series A,,10965246.67,2023-12-07,,Paris,"Financiere Saint James, henQ, Motier Ventures, Otium Capital, Resonance","Artificial Intelligence, LegalTech"
TOOPI Organics,https://toopi-organics.com/,Series A,,10928057.1,2023-09-12,,"Loupiac-de-la-réole, Aquitaine, France, Europe","BNP Paribas, Clay Capital, Edaphon, IRDI SORIDEC Gestion, Johes, MAIF Impact, MakeSense, Meusinvest (Noshaq)","BioTech, AgriTech, Hardware"
Futura gaia,https://futuragaia.com/,Series A,,10913892.28,2023-02-09,,"Rodilhan, Languedoc-Roussillon, France, Europe","Abeille Impact Investing France, Alain Francois Raymond, A Plus Finance, Banque des Territoires, CAAP Creation, Colam Impact, Elpis, OCCIPAC, Région Sud Investissement, Sofilaro, Sowefund, UI Investissement","Artificial Intelligence, AgriTech"
NetZero,https://netzero.green/,Series A,,10905424.98,2023-02-07,,Paris,"CMA CGM Ventures, L'Oreal, Stellantis Ventures","CleanTech, ClimateTech, Mobility"
Orus,https://www.orus.eu,Series A,,10775740.95,2023-10-10,,Paris,"Albert Malagarriga, Frst, Grégoire Rastoul, Notion Capital, Partech, Portage Ventures, Redstone.VC, Thierry Daucourt, VR Ventures",InsurTech
ProovStation,https://www.proovstation.com/,Series A,,10492719.88,2023-01-25,,Lyon,"Crédit Agricole Centre-Est, Otium Capital, Supernova Invest",Mobility
Mob-Energy,https://www.mob-energy.com/,Series A,,10220838.88,2023-07-24,,"Villeurbanne, Rhone-Alpes, France, Europe","Axeleo Capital, Bpifrance, CMA CGM Ventures, Crédit Agricole, EIT InnoEnergy, Santander Brasil, Thierry Fahmy, UI Investissement",Energy
Oso,https://www.oso-ai.com,Series A,,10132795.64,2023-04-20,,"Brest, Bretagne, France, Europe","Breizh Up, Cemag Invest, Innovacom",Mobility
Malou,https://malou.io,Series A,,10111514.23,2023-11-20,,Paris,"Bertrand Jelensperger, Bleu Capital, henQ, Jim Texier","FoodTech, MarTech"
Teale,https://teale.io,Series A,,10097489.84,2023-08-30,,Paris,"Alter Equity 3P, Bpifrance Digital Venture, Isai",HealthTech
Knave,https://www.knave.eu,Series A,,10075509.98,2023-11-19,,Paris,,Mobility
Defacto,https://www.getdefacto.com,Series A,,10049775.5,2023-11-14,,Paris,"Citi Ventures, Global Founders Capital, Headline, Motier Ventures, Northzone","FinTech, MedTech"
Le Fourgon,https://www.lefourgon.com,Series A,,10028209.53,2023-11-15,,Marquette Lez Lille,"Id4 ventures, La Poste Ventures, Teampact ventures, XAnge",Other
Little Worker,https://www.littleworker.fr/,Series A,,9956063.38,2023-03-24,,Paris,"AQUITI Gestion, FJ Labs","SaaS, LegalTech, E-commerce & Retail"
Cleyrop,https://cleyrop.com,Series A,,9897930.52,2023-06-02,,Paris,"Bpifrance, Credit Agricole CIB, Keen Venture Partners, Normandie Participations",Other
Stane,https://stane-groupe.fr,Series A,,9868317.63,2023-09-19,,"Rue Du Rosult, Nord-Pas-de-Calais, France, Europe","Auvergne Rhône-Alpes Sovereign Fund, Mutuelles Impact, XAnge",MedTech
Stoïk,https://stoik.com,Series A,,9868317.63,2023-09-19,,Paris,"Alven, Andreessen Horowitz, Munich Re Ventures, Opera Tech Ventures","Cybersecurity, InsurTech"
Tilak Healthcare,http://www.tilakhealthcare.com/,Series A,,9733902.44,2023-10-12,,Paris,"Adelie, CapHorn Invest, Elaia, iBionext, Laboratoires Théa, Matmut, Swen Capital Partners, Yann Fleureau","HealthTech, MedTech, Mobility, Gaming"
Bastille,https://bastillecycles.com,Series A,,9707830.75,2023-10-04,,"Franceau, Bourgogne, France, Europe","Ankaa Ventures, Eutopia VC",Other
Qobra,https://www.qobra.co,Series A,,9682121.21,2023-10-02,,Paris,"BREEGA, Revenue Syndicate, Singular",BioTech
73 Strings,https://www.73strings.com/,Series A,,9366139.14,2023-07-12,,Paris,"Blackstone Innovations Investments, Broadhaven Ventures, Fidelity International Strategic Ventures","Artificial Intelligence, FinTech"
Pricemoov,https://pricemoov.com,Series A,,9238728.75,2023-04-12,,Paris,"Bpifrance Digital Venture, Isai",E-commerce & Retail
Reverse Contact,https://www.reversecontact.com/,Series A,,9238728.75,2023-12-11,,Paris,,Artificial Intelligence
Polar Analytics,https://www.polaranalytics.com,Series A,,8314855.88,2023-07-18,,Paris,Point Nine,Other
Exeliom,https://www.exeliombio.com,Series A,,8068318.55,2023-06-30,,"Dijon, Bourgogne, France, Europe","Auriga Partners, Biocodex, Capital Grand Est, CE-Ventures, UI Investissement","BioTech, HealthTech"
Graneet,https://graneet.fr,Series A,,8068291.76,2023-04-11,,Paris,"Axeleo Capital, Foreword Fund, Foundamental, Nicolas Dessaigne, Point Nine, Rodolphe Ardant",Other
Le Train,https://www.letrainvoyage.fr/,Series A,,8065677.2,2023-07-03,,"L'isle-d'espagnac, Poitou-Charentes, France, Europe","AQUITI Gestion, Charente-Périgord Expansion, Crédit Mutuel Arkéa, NACO, Tudigo",Artificial Intelligence
Mobile Club,https://www.mobile.club,Series A,,7956850.52,2023-01-11,,Paris,"Antoine Arnault, FJ Labs, Matthieu Besozzi, Maxime Paradis, Romain Peugeot, Xavier Niel",Other
Smart Tribune,https://www.smart-tribune.com/,Series A,,7865115.48,2023-03-04,,Paris,"Elevation Capital Partners, La Poste Ventures, XAnge",Other
Kovalee,https://www.kovalee.app,Series A,,7820963.6,2023-03-15,,"Fontenay-aux-roses, Ile-de-France, France, Europe","Alan Fung, Alexandre Berriche, Bpifrance, BREEGA, IRIS","Artificial Intelligence, Entertainment"
Poppins,https://www.poppins.io/,Series A,,7788467.29,2023-10-18,,Paris,"Allianz, BNP Paribas Développement, Bpifrance, Eurazeo, HEC Alumni, Kurma Partners, Verve Ventures",Entertainment
NETRIS Pharma,http://www.netrispharma.com/,Series A,,7607055.62,2023-12-19,,Lyon,European Innovation Council,Other
Qotto,https://www.qotto.net/,Series A,,7390983,2023-02-13,,"Neuilly-sur-seine, Ile-de-France, France, Europe",IBL,"CleanTech, Energy"
LinKinVax,https://linkinvax.com/,Series A,,7238456.21,2023-01-09,,Paris,"André-Jacques Auberton-Hervé, IQT","BioTech, HealthTech, Hardware"
CyberVadis,https://cybervadis.com,Series A,,7158118.99,2023-05-03,,Paris,Zobito,Cybersecurity
WeeFin,https://weefin.co,Series A,,7116544.72,2023-11-28,,"Neuilly-sur-seine, Ile-de-France, France, Europe","Asterion Ventures, Impactivist, IRIS, Ring Capital","Artificial Intelligence, FinTech, CleanTech"
Inpulse,http://inpulse.ai,Series A,,7082648.74,2023-04-19,,Paris,"High Flyers Capital, TCD Capital (ex TheClubDeal)",Other
HappyPal,https://happypal.fr,Series A,,7060179.23,2023-11-21,,Paris,"Anthemis, Educapital","FinTech, SaaS"
LIZEE,https://www.lizee.co/,Series A,,7006141.91,2023-01-19,,Paris,"Alante Capital, Demeter, Lyra Ventures, MAIF Impact, Speedinvest",Mobility
Avicenna.ai,https://avicenna.ai/,Series A,,6929851.26,2023-02-08,,"La Ciotat, Provence-Alpes-Cote d'Azur, France, Europe","Cemag Invest, Innovacom","Artificial Intelligence, HealthTech, MedTech, Hardware"
Mangrove DAO,https://www.mangrove.exchange/,Series A,,6836659.28,2023-02-27,,Paris,"CMT Digital, Cumberland, Greenfield, gumi Cryptos Capital (gCC)","Web3, LegalTech"
PrediSurge,https://www.predisurge.com,Series A,,6337954.55,2023-10-16,,"Saint-Étienne, Lorraine, France, Europe","Crédit Agricole Lhl Capital Innovation, European Innovation Council, LIFTT, Saint Victor Capital, UI Investissement","HealthTech, MedTech, Hardware"
SpotLight,https://spotlight-earth.com/,Series A,,6171470.81,2023-08-21,,"Massy, Ile-de-France, France, Europe","AFI Ventures, Emerald Technology Ventures, Industrya, Nabtesco Technology Ventures, Phaze Ventures",Other
Womed,https://www.womedtech.com/,Series A,,6128326.87,2023-12-30,,Montpellier,IRDI SORIDEC Gestion,"HealthTech, MedTech, Hardware"
Everysens,http://www.everysens.com,Series A,,6088097.75,2023-05-10,,Lille,"Aglaé Ventures, Alter Equity 3P, Kima Ventures, Rev3 Capital",Artificial Intelligence
SFE PROCESS,https://www.sfe-process.com,Series A,,6050584.81,2023-06-28,,"Tomblaine, Lorraine, France, Europe","Bpifrance, Crédit Mutuel Equity, Gilles Caumont, GROUPE ILP",Hardware
eXplain,https://explain.fr/,Series A,,6045885.99,2023-04-03,,Paris,"Didier Le Menestrel, Holnest, ODYSSEE VENTURE",Artificial Intelligence
Goodvest,https://goodvest.fr,Series A,,6041298.04,2023-11-06,,Paris,"AG2R La Mondiale, Polytechnique Ventures, Ring Capital",Other
basecamp vascular,https://www.basecampvascular.com,Series A,,6032510.16,2023-12-13,,"Reims, Champagne-Ardenne, France, Europe","Forepont Capital Partners, MEDCO Inter, NTI Corporation","MedTech, Robotics"
AirFund,https://www.airfund.io/,Series A,,6029865.11,2023-11-14,,Paris,"Amundi, Indosuez Wealth Management","Artificial Intelligence, BioTech"
Million Victories,http://millionvictories.com/,Series A,,6010812.08,2023-06-14,,"Villeurbanne, Rhone-Alpes, France, Europe","Eurazeo, Griffin Gaming Partners","Entertainment, Gaming"
Carsup,https://en.carsup.io/,Series A,,5935171.84,2023-06-07,,Paris,"Compellia, Marius Istrate",Mobility
BIBAK,http://www.bibak.fr,Series A,,5924889.14,2023-02-11,,"Versailles, Ile-de-France, France, Europe","Founders Future, MAIF Impact, Notus Technologies, Seed-One Ventures, Swen Capital Partners",Other
Geoflex,http://www.geoflex.xyz,Series A,,5883385.07,2023-03-16,,Paris,"Demeter, Stellantis Ventures, Thales Corporate Ventures",Artificial Intelligence
EG 427,https://www.eg427.com,Series A,,5184564.86,2023-07-13,,Paris,,"BioTech, Hardware"
Agriodor,https://agriodor.com/,Series A,,5140051.74,2023-04-28,,Rennes,"BNP Paribas Développement, Breizh Up, Capagro, CapHorn Invest, Swen Capital Partners","Artificial Intelligence, AgriTech"
Mium Lab,https://www.miumlab.com/,Series A,,5087192.35,2023-02-01,,Paris,"Aquasourca, Groupe M6, Hubert Patricot, Mandi Ventures",FoodTech
Sinay,https://sinay.ai,Series A,,5071214.89,2023-04-25,,"Caen, Basse-Normandie, France, Europe","Alpana Ventures, Betatron Venture Group, Littoral Capital Partners, LLC, Motion Ventures, Normandie Participations, Seabird Ventures, Seventure Partners, Shift4Good, Sustainable Ocean Alliance",Other
Innerskin,https://www.innerskin.fr,Series A,,5043029.38,2023-11-17,,Paris,"CF Partners, Label Capital","HealthTech, MedTech"
Vizcab,https://vizcab.io,Series A,,5042985.03,2023-11-21,,Lyon,"Altur Investissement, Banque des Territoires, Cemex Ventures, KOMPAS VC, noa, Rise PropTech",Other
Pongo,https://www.heypongo.com/,Series A,,4959198.08,2023-02-14,,Paris,"Altavia Adventures, Evolem Start, Frst, Techmind",Other
MerciApp,https://www.merci-app.com/,Series A,,4836245.38,2023-10-03,,Paris,"Educapital, Isai, Swen Capital Partners",Other
mySofie,https://mysofie.fr,Series A,,4255774.21,2023-04-20,,Bordeaux,"AG2R La Mondiale, CPMS, Digital Insure, Open CNP","HealthTech, Mobility"
Lynxter,https://lynxter.fr/,Series A,,4068947.71,2023-05-02,,"Bayonne, Aquitaine, France, Europe","Crédit Agricole Alpes Provence, Groupe Etchart, Herrikoa, IRDI SORIDEC Gestion, M Capital Partners, NACO, Pyrénées Gascogne",Other
bsport solution,http://pro.bsport.io,Series A,,4047228.38,2023-04-19,,Paris,"Frederic Halley, Seed4Soft, Seventure Partners",Other
Circle Sportswear,https://www.circlesportswear.com/,Series A,,4010791.76,2023-11-16,,Paris,"Alter Equity 3P, Thierry Peuchot",Artificial Intelligence
Betterway,https://betterway.fr,Series A,,4003509.79,2023-01-19,,"Suresnes, Ile-de-France, France, Europe",Edenred,"FinTech, Mobility"
Samabriva,https://samabriva.com/,Series A,,3990574.65,2023-12-12,,Amiens,Meusinvest (Noshaq),"BioTech, Hardware"
Follow,http://www.follow.fr,Series A,,3708761.09,2023-10-01,,Rennes,,"HealthTech, MedTech"
Aptimiz,https://aptimiz.com,Series A,,3210732.63,2023-05-05,,"Angers, Pays de la Loire, France, Europe","Asterion Ventures, Demeter",AgriTech
Dalma,https://www.dalma.co/,Series A,,3002586.84,2023-01-25,,Paris,"Anterra Capital, Project A Ventures","HealthTech, MedTech, InsurTech"
Santexpat.fr,https://santexpat.fr/,Series A,,2990476.72,2023-06-13,,"La Bourse, Centre, France, Europe","Accurafy 4, BNP Paribas Private Equity, Bpifrance, Swiss Life France","HealthTech, InsurTech"
YouStock,https://youstock.fr/,Series A,,2955516.44,2023-01-07,,Nice,,Other
Niryo,https://niryo.com,Series A,,2718192.9,2023-10-04,,"Wambrechies, Nord-Pas-de-Calais, France, Europe","Bpifrance Digital Venture, Finorpa, GO CAPITAL, Innovacom, IRD INVEST, Nord France Amorcage",Robotics
MerciYanis,https://www.merciyanis.com/,Series A,,2628153.18,2023-10-12,,"Labège, Midi-Pyrenees, France, Europe","50 Partners, IRDI SORIDEC Gestion, WinEquity",Other
Miraxess,http://www.miraxess.com,Series A,,2429837.4,2023-01-05,,Lyon,"Alsace Business Angels, Bpifrance, Capital Grand Est, Finovam Gestion",Other
Pess Energy,https://www.pessenergy.com/,Series A,,2017079.64,2023-06-30,,Marseille,"BioHomeTech, IODA Consulting, Région Sud Investissement, Rise Partners","BioTech, Energy"
MoneyTrack,https://moneytrack.io,Series A,,2006626.02,2023-01-12,,Paris,"Accurafy 4, AG2R La Mondiale, Truffle Capital","Artificial Intelligence, Web3"
Gomecano,https://www.gomecano.com/,Series A,,1971261.09,2023-03-01,,"Biot, Provence-Alpes-Cote d'Azur, France, Europe",Via ID,Mobility
Ciliatech,https://www.cilia.tech/,Series A,,1774925.17,2023-04-25,,"Chavanod, Rhone-Alpes, France, Europe","Bernard Chauvin, BNP Paribas Développement, KREAXI",MedTech
Kuantom,http://www.kuantom.com/,Series A,,1008539.36,2023-06-30,,Paris,Landry Holi,HealthTech
Obypay,https://obypay.com,Series A,,708505.17,2023-06-22,,Paris,,FoodTech
Smiirl,https://www.smiirl.com/,Series A,,497339.25,2023-12-06,,Paris,,Other
Monomeris Chemicals,https://monomeris-chemicals.com/,Series A,,293968.03,2023-01-04,,"Avelin, Nord-Pas-de-Calais, France, Europe",,Artificial Intelligence
Clac des Doigts,https://clacdesdoigts.com/en/,Series A,,230968.22,2023-01-06,,Paris,Newchip Accelerator,Other
DATATEGY,http://www.datategy.net,Series A,,230968.22,2023-01-31,,"Neuilly-sur-seine, Ile-de-France, France, Europe",Newchip Accelerator,Artificial Intelligence
Yacht Sentinel,http://www.yacht-sentinel.com/,Series A,,228914.45,2023-07-01,,"Boulogne-billancourt, Ile-de-France, France, Europe",Tom Whitby,SpaceTech & Aerospace
MaksiWeb Technologies,https://maksiweb.com/,Series A,,120103.47,2023-10-16,,Paris,Startup Weekend,Other
PROFI DRIVER,https://www.profi-driver.com/,Series A,,89438.29,2023-01-03,,Paris,,Other
AdipoPharma,https://www.adipopharma.com,Series A,,,2023-01-23,,Strasbourg,"Good Growth Capital, Newton Biocapital","BioTech, HealthTech, Hardware"
BuyCo,http://buyco.co,Series A,,,2023-07-24,,Marseille,"Banque Populaire du Sud, GO CAPITAL","Artificial Intelligence, SaaS"
Choose,http://www.appchoose.io/,Series A,,,2023-04-06,,Paris,FJ Labs,"Artificial Intelligence, E-commerce & Retail"
Ejara,https://www.ejara.io/,Series A,,,2023-03-20,,Bordeaux,Adaverse,"FinTech, Web3"
ENAOS,https://business.enaos.net,Series A,,,2023-08-01,,"Douzy, Champagne-Ardenne, France, Europe",,Other
Hair Originals,http://hairoriginals.com/,Series A,,,2023-10-18,,Paris,"Culture Cap, Dominor Investment, She Capital",Artificial Intelligence
Interstis,https://www.interstis.fr/,Series A,,,2023-06-01,,"Le Creusot, Bourgogne, France, Europe",ODYSSEE VENTURE,Other
Le Train,https://www.letrainvoyage.fr/,Series A,,,2023-03-28,,"L'isle-d'espagnac, Poitou-Charentes, France, Europe",,Artificial Intelligence
Reforest'Action,https://www.reforestaction.com,Series A,,,2023-11-01,,"Rueil-malmaison, Ile-de-France, France, Europe",Blisce,BioTech
Elements,https://www.elements.green,Series A,,49842030.67,2023-12-07,,Montpellier,"Bpifrance, Enerfip Gestion, Noria Invest, OCCTE, Sofilaro","CleanTech, Energy"
NewHeat,http://newheat.fr/,Series A,,30334542.68,2023-11-20,,"Bègles, Aquitaine, France, Europe","Bpifrance, Groupe Etchart, Holdheat, Noria Invest, Swen Capital Partners","CleanTech, AgriTech"
B:bot,https://www.b-bot.com/,Series A,833953631,20268837.77,2023-07-09,,"Puteaux, Ile-de-France, France, Europe",Eiffel Investment Group,"CleanTech, DeepTech"
Jumbo Privacy,https://www.jumboprivacy.com/,Series A,,15705838.88,2023-01-31,,"Paris, New York City",Index Ventures,Cybersecurity
Smart Immune,https://www.smart-immune.com,Series A,830784062,15111484.66,2023-03-30,,Paris,European Innovation Council,"Artificial Intelligence, BioTech, Energy, Hardware"
Black Tiger,https://blacktiger.tech,Series A,,14752859.39,2023-02-01,,Paris,"ARCOLE, Finance.Brussels",Other
Klaxoon,https://klaxoon.com/,Series A,808578801,14661862.53,2023-02-22,,Rennes,,Other
Vulkam,https://www.vulkam.com/,Series A,833877517,14299429.97,2023-12-30,,"Saint-martin-d'heres, Rhone-Alpes, France, Europe","BNP Paribas Développement, Bpifrance, Crédit Agricole Alpes Development, Groupe SEB, INCO Ventures, Supernova Invest, UI Investissement, Vertech",Other
Qiara,https://qiara.co/,Series A,530756550,14000000,2023-04-13,,Paris,"Iliad, Xavier Niel",BioTech
Dev'EnR,https://devenr.fr/,Series A,850500422,12674377.31,2023-04-18,,"Béziers, Languedoc-Roussillon, France, Europe","IDIA Capital Investissement, OCCTE, Sofilaro","CleanTech, DeepTech, Hardware"
Lunii,https://lunii.com/,Series A,802801472,10800000,2023-03-12,,Paris,"Arjo, BNP Paribas Développement, Educapital, Unique Heritage Media","Entertainment, Hardware"
Deltalys,http://deltalys.com,Series A,801564238,10225884.15,2023-05-03,,"Villeurbanne, Rhone-Alpes, France, Europe","Swen Capital Partners, Tilt Capital Partners",CleanTech
Sesame IT,https://www.sesame-it.fr/,Series A,832787477,10074323.73,2023-03-30,,Paris,"115K, astorya.vc, Banque des Territoires, BNP Paribas",Cybersecurity
mylight150,https://mylight150.com,Series B,,100642049.2,2023-11-30,,"Jonage, Rhone-Alpes, France, Europe","Andera Partners, Azora, Eiffel Investment Group, Elevation Capital Partners","BioTech, Energy"
Pasqal,https://www.pasqal.com,Series B,,100438869.2,2023-01-23,,"Palaiseau, Ile-de-France, France, Europe","Bpifrance, Daphni, Eni Next, European Innovation Council, Green Sands Equity, Quantonation, Temasek Holdings, Wa’ed Ventures",DeepTech
Braincube,https://braincube.com/,Series B,,84149552.85,2023-11-29,,"Issoire, Auvergne, France, Europe","Bpifrance, Scottish Equity Partners",Artificial Intelligence
Exotrail,http://exotrail.com,Series B,,53584626.76,2023-02-07,,"Massy, Ile-de-France, France, Europe","360 Capital, Banque Populaire, BNP Paribas, Bpifrance, CELAD, Eurazeo, Innovacom, IRDI SORIDEC Gestion, IXO Private Equity, Karista, NCI Waterstart","Artificial Intelligence, Energy, SpaceTech & Aerospace"
