Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
Alma,"Neuilly-sur-seine, Ile-de-France, France, Europe",Series C,115000000,EUR,2022-02-10,https://www.getalma.eu/,Alma is a provider of installment-based payments through a large merchant network.,"Bpifrance, Cathay Innovation, Eurazeo, GR Capital, Motier Ventures, Picus Capital, Roosh Ventures, Seaya, Tencent","Financial Services, Payments, Transaction Processing",
Sarbacane Software,"Hem, Nord-Pas-de-Calais, France, Europe",Private Equity,110000000,USD,2022-11-08,https://www.sarbacane.com,"Sarbacane Software is a martech company offering email marketing, SMS marketing, and automation services.","CIC Nord Ouest, EMZ Partners","Advertising, Contact Management, Digital Marketing, Email Marketing, Information Technology",
Daher,"Paray-vieille-poste, Ile-de-France, France, Europe",Private Equity,105000000,EUR,2022-05-11,https://www.daher.com/,Daher is an aircraft manufacturer and an industry and service equipment supplier.,,"Aerospace, Manufacturing",
Homa Games,"Paris, Ile-de-France, France, Europe",Series B,102850000,EUR,2022-10-12,https://homagames.com,Homa Games is a gaming technology platform that publishes and creates mobile games for studios and developers.,"Bpifrance, Eurazeo, Fabric Ventures, Headline, Northzone, Quadrille Capital, Singular","Gaming, Mobile Apps, Online Games, Publishing, Software",
ChapsVision,"Suresnes, Ile-de-France, France, Europe",Growth Equity,100000000,EUR,2022-09-22,https://www.chapsvision.fr/,ChapsVision is a software development firm that support businesses and government organizations in their digital transformation.,"Bpifrance, Tikehau Ace Capital, Tikehau Capital","Cyber Security, Information Technology, Software",
Spendesk,"Paris, Ile-de-France, France, Europe",Series C,100000000,EUR,2022-01-18,https://www.spendesk.com,Spendesk is a smart spend management software designed for both finance teams and employees.,"Eight Roads Ventures, General Atlantic, Hexa, Index Ventures, Tiger Global Management","B2B, Credit Cards, Financial Services, FinTech, Payments, SaaS, Software",
InterCloud,"Paris, Ile-de-France, France, Europe",Series D,100000000,EUR,2022-02-15,https://www.intercloud.com,InterCloud is the European leader of Software-Defined Cloud Interconnection (SDCI),"Aleph Capital Partners, Open CNP, Ventech","Cloud Computing, Cloud Infrastructure, Cloud Management, Software, Telecommunications",
ImCheck Therapeutics,"Marseille, Provence-Alpes-Cote d'Azur, France, Europe",Series C,96000000,EUR,2022-06-13,http://www.imchecktherapeutics.com,ImCheck Therapeutics designs and develops immunotherapeutic antibodies for the treatment of cancer and autoimmune disease.,"Agent Capital, Alexandria, Andera Partners, Blood Cancer United, Inc., Boehringer Ingelheim Venture Fund, Bpifrance, Earlybird Venture Capital, EQT Life Sciences, Eurazeo, Gimv, Invus, Kurma Partners, Pfizer Venture Investments, Pureos Bioventures, The Leukemia & Lymphoma Society’s Therapy Acceleration Program, Wellington Partners","Biopharma, Biotechnology, Health Care, Life Science, Therapeutics",
+Simple,"Paris, Ile-de-France, France, Europe",Growth Equity,90000000,EUR,2022-03-10,https://www.plussimple.fr/,+Simple is an insurance company that provides underwriting and management solutions to small and medium businesses.,"Eurazeo, Kohlberg Kravis Roberts & Co., Speedinvest, Tikehau Capital","Financial Services, FinTech, Health Insurance, Insurance",
Anywr,"Marcq-en-baroeul, Nord-Pas-de-Calais, France, Europe",Growth Equity,80000000,EUR,2022-06-14,https://www.anywr-group.com,Anywr is a consulting agency that assists people in finding the right job and helps companies recruit suitable individuals.,"Eurazeo, Naxicap Partners","Human Resources, Recruiting, Training",
Padoa,"Paris, Ile-de-France, France, Europe",Seed,80000000,EUR,2022-02-02,https://www.padoa.fr,Padoa is an occupational health software firm that develops a tool for monitoring the health of employees.,Rothschild & Co.,"Health Care, Productivity Tools, Software, Wellness",
